,Tira orthography (singular form),Tira orthography (plural form),Tira orthography (singular object form),Tira orthography (plural object form),Translation equivalent,Have we recorded this one already?,In our database?,COMMENTS,Noun class (based on agreement),SG subject tone,SG subject form,Source for SG subject form,Transcription checked with recording?,Number of syllables of stem,PL subject form,Source for PL subject form,Transcription checked with recording?.1,SG object tone,SG object suffix,Stem tone change,Hiatus (stem-ACC),SG object form,Source for SG object form,Transcription checked with recording?.2,PL object form,Source for PL object form,Transcription checked with recording?.3,SG citation form,Source for SG citation form,Transcription checked with recording?.4,PL citation form,Source for PL citation form,Transcription checked with recording?.5,Gloss
244,angna,nangna,angna,nangna,house,yes,in preparation for a Kwaras run,,j/n,LH,ə̀ŋná,HH20220326-2,yes,2,nə̀ŋná,HH20220326-2,yes,LH,Ø,no (but vowel change? check transcriptions),N.A.,àŋná,HH20220719-2,yes,nàŋná,HH20220719-2,yes,,,,,,,house
245,lurru,ngurru,lurru,ngurru,red thorn tree,yes,in preparation for a Kwaras run,,l/ŋ,LH,lòró,HH20220326-3,yes,2,ŋòró,HH20220326-3,yes,LH,Ø,no (but vowel change? check transcriptions),N.A.,lùró,HH20220726-1,yes,ŋùró,HH20220726-1,yes,lòrô,HH20220201,yes,ŋòrô,HH20220201,yes,red.thorn.tree
246,arrx,narrx,arra,narra,table,yes,check eaf file status,,j/,LH,àré,HH20220227-1,yes,2,nàré,HH20230703,yes,LH,Ø,none,N.A.,àré,HH20230516,yes,,,,are ?,,,,,,table
247,,,,,feather,yes,has gaps,,k/ɲ,LH,ìmbɽá,HH20220809-2,yes,2,ɲìmbɽá,HH20220809-2,yes,LLH,Ø,none,N.A.,ìmbə̀ɽá,HH20230516,yes,,,,ìmbɽá,HH20220809-2,yes,ɲìmbɽà,HH20220809-2,yes,feather
248,alq,no plural form,alq,,place,yes,,,j,LH,àlú,HH20230608,yes,2,no number distinction,,,LH,Ø,none,N.A.,àlú,HH20230608,yes,no number distinction,,,,,,,,,place
249,albriz?,,albrizo?,,"mat, rug (Arabic loan)",yes,check eaf file status,Arabic loanword,j,LH,àlbríθ,HH20210630,yes,2,nàlbríð,HH20230703,yes,LH-H,ɔ,no,no,àlbɾíð-ɔ́,HH20230516,yes,,,,,,,,,,mat/rug
250,umi,numi,umo,numo,bell,yes,in preparation for a Kwaras run,also ùmí (HH20200917),k/n,LH,ʊ̀mí,HH20220326-2,yes,2,nʊ̀mí,HH20220326-2,yes,L-H,ɔ,no,yes,ʊ̀m-ɔ́,HH20220714,yes,nʊ̀m-ɔ́,HH20220714,yes,umi,HH20200917,,,,,bell
251,luhbi,nuhbi,luhbo,nguhbo,jujube fruit,yes,," (see also ""luhuvo""; regional variation)",l/ŋ,LH,lùɽbí,HH20230608,yes,2,"ŋùɽbí, ŋùɽví",HH20230608,yes,L-H,ɔ,no,yes,lùɽb-ɔ́,HH20230608,yes,ŋùɽb-ɔ́,HH20230608,yes,,,,,,,jujube.fruit
252,omne,nomne,omna,nomna,enemy,yes,in preparation for a Kwaras run,also ɔ̀mnɛ̀θ and nɔ̀mnɛ̀θ (HH20211012),k/n,LH ,ɔ̀mnɛ́ ,HH20220326-5,yes,2,nɔ̀mnɛ́,HH20220326-5,yes,L-H,a,no,yes,ɔ̀mn-á,HH20220828,yes,nɔ̀mná,HH20220828,yes,ɔ̀mnɛ̀θ,HH20211012,,,,,enemy
253,ngirim,no number distinction,ngirime,no number distinction,darkness,yes,in preparation for a Kwaras run,recheck for plural form and check for aɡreement,ŋ,LH ,ŋ̀rím,HH20220326-5,yes,2,no number distinction,HH20220326-5,yes,LH-H,ɛ,no,no,ŋə̀ɾím-ɛ́,HH20220828,yes,no number distinction,,,ŋìrím,< HH20211012:28:58.7 >,yes,,,,darkness
254,ngemtere,no number distinction,ngemtera,no number distinction,frollicking,yes,in preparation for a Kwaras run,,ŋ,LHH,ŋə̀mt̪ɛ́ɾɛ́,HH20220326-5,yes,3,no number distinction,HH20220326-5,yes,HH-H,a,no? (is NOM form HHH + upsweep?),yes,ŋə́mt̪ɛ́ɾ-á,HH20220828,yes,no number distinction,,,,,,,,,frollicking
255,lubutu,ngubutu,lubute,ngubute,bird (dove),yes,in preparation for a Kwaras run,also PL ŋùbùtù (HH20201125),l/ŋ,LHH,lùbút̪ú ,HH20220326-5,yes,3,ŋùbút̪ú ,HH20220326-5,yes,HH-H,ɛ,yes (LH->H),yes,lúbúʈ-ɛ́,HH20220828,yes,ŋúbúʈɛ́,HH20220828,yes,lùbùtù,HH20201111,,,,,dove
256,ulingge,no plural  form,unlinge,no number distinction,night,yes,in preparation for a Kwaras run,,k,LHH,ùlíŋgɛ́,HH20220326-4,yes,3,no number distinction,HH20220326-4,yes,LHH,Ø,no,N.A.,ùlíŋgɛ́,HH20220726-1,yes,no number distinction,,,ùlíŋgɛ́,HH20211012,,no number distinction,HH20211012,,night
257,zlaha,no number distinction,zlaha,no number distinction,plough (infinitive?),yes,in preparation for a Kwaras run,looks like an infinitive/deverbal noun,ð,LHH,ðə̀láɽá,HH20220326-4,yes,3,no number distinction,HH20220326-4,yes,HHH,Ø,no? (is NOM form HHH + upsweep?),N.A.,ðə́láɽá,HH020220726-1,yes,no number distinction,,,,,,,,,plough
258,sohinggo,,sohinggo,,donkey (diminutive),yes,in preparation for a Kwaras run,ngohingo is singular for donkey (grown),s,LHH,sɔ̀ɽíŋɡɔ́,HH20211019,yes,3,,,,LHH,Ø,none,N.A.,sɔ̀ɽíŋɡɔ́,,,,,,,,,,,,donkey.DIM
259,ngohinggo,nyohinggo,ngohinggo,nyohinggo,donkey,yes,check eaf file status,,ŋ/ɲ,LHH,ŋɔ̀ɽíŋɡɔ́,HH20211109,yes,3,ɲàɽíŋɡó,HH20211109,yes,LHH,Ø,none,N.A.,ŋɔ̀ɽíŋɡɔ́,HH20211109,yes,ɲàɽíŋɡó,HH20211019,,ŋɔ̀ɽíŋɡɔ̀,HH20211109,yes,,,,donkey
260,alkurci ,no number distinction,alkurce,no number distinction,money,yes,in preparation for a Kwaras run,Loanword from Arabic?,j,LHL,àlkúrtʃì,HH20220326-2,yes,3,no number distinction,HH20220326-2,yes,LH-H,ɛ,no,yes,àlkúɾtʃ-ɛ́,HH20220719-2,yes,no number distinction,,,alkurci,HH20220206-2,,,,,money
261,ngicolo,nyicolo,nicolo,nyicolo,brown squirrel,yes,check eaf file status,Odd class?,ŋ/n,LHL,ŋ̀tʃɔ́lɔ̀,HH20230420-Zoom-2,yes,3,nìtʃɔ́lɔ̀,HH20211004,yes,LHL,Ø,none,N.A.,ŋìtʃɔ́lɔ̀,HH20211004,yes,nìtʃɔ́lɔ̀,HH20211004,yes,,,,,,,brown.squirrel
262,zaribi,yaribi,zaribo,yaribo,pen (for animals),yes,check eaf file status,,ð/j,LHL,ðɜ̀ríbì,HH20220629-1,yes,3,jàríbì,HH20220629-1,yes,LH-L,ɔ,no,yes,ðɜ̀ríb-ɔ̀,HH20220629-1,yes,,,,,,,,,,animal.pen
263,almundu,nalmundu,almundo,nalmundo,gun,yes,in preparation for a Kwaras run,,j/n,LHL,àlmúndù,HH20220326-2,yes,3,nàlmúndù,HH20220326-2,yes,LH-L,ɔ,no,yes,àlmúnd̪-ɔ̀,HH20220714,yes,nàlmúnd̪-ɔ̀,HH20220714,yes,,,,,,,gun
264,zangal,yangal,zangala,yangala,sheep,yes,check eaf file status,,ð/j,LL,ðàŋàl,< HH09242020:14:31.2 0:01.7 >,yes,2,jàŋàl,,,LL-L,a,no,no,ðàŋàl-à,HH20220712-1,yes,jàŋàlà,,,ðàŋàl,,,jàŋàl,,,sheep
265,aro,laro,ora,lora,"brother, sibling",yes,in preparation for a Kwaras run,,k/l,LL,àɾò ,HH20220206-1,yes,2,làɾò,HH20220206-1,yes,L-L,a,no,yes,òɾ-à,HH20220224,yes,lòɾ-à,HH20220224,yes,,,,làrò,HH20210913,,sibling
266,lonyo ,ngonyo ,lonya,ngoya,mouth,yes,in preparation for a Kwaras run,,l/ŋ,LL,lɔ̀ɲɔ̀,HH20220206-2,yes,2,ŋɔ̀ɲɔ̀,HH20220206-2,yes,L-L,a,no,yes,lɔ̀ɲ-à,HH20220206-2,yes,ŋɔ̀ɲa,HH20220206-2,yes,,,,,,,mouth
267,zupi,yupi,zupa,yupa,pen,yes,check eaf file status,,ð/j,LL,ðùpì,HH20220227-1,yes,2,jùpì,HH20220227-1,yes,L-L,a,no,yes,ðùp-à,HH20220805-2,yes,,,,,,,,,,pen
268,lonyo ,ngonyo,lonya,ngonya,top,yes,in preparation for a Kwaras run,also 'mouth',l/ŋ,LL,lɔ̀ɲɔ̀,HH20220326-5,yes,2,ŋɔ̀ɲɔ̀ ,HH20220326-5,yes,L-L,a,no,yes,lɔ̀ɲ-à,HH20220828,yes,ŋɔ̀ɲà,HH20220828,yes,lɔɲɔ,HH20211116,,,,,top
269,tqsq,ngqtqsq,tqsa,ngqtqsa,palm of hand,yes,in preparation for a Kwaras run,,l/ŋ,LL,ʈòsò ,HH20220326-5,yes,2,ŋʊ̀ʈòsò ,HH20220326-5,yes,L-L,a,no,yes,ʈòs-à,HH20220828,yes,ŋʊ̀ʈòsà,HH20220828,yes,,,,,,,palm.of.hand
270,luzx,nguzx,luza,nguza,bone,yes,check eaf file status,unsure about the vowels,l/ŋ,LL,lòðì,HH20220712-1,yes,2,ŋùðì,HH20220712-1,yes,L-L,a,no,yes,lòð-à,HH20220712-1,yes,ŋòðà,HH20220712-1,yes,,,,,,,bone
271,zondo,yondo,zonda,yonda,gourd,yes,check eaf file status,,ð/,LL,ðɔ̀nɖɔ̀,HH20230420-Zoom-2,yes,2,jɔ̀nɖɔ̀,HH20230703,yes,L-L,a,no,yes,ðɔ̀nd-à,HH20230516,yes,,,,ðɔ̀ndɔ̀,HH20211108,,,,,gourd
272,ngimaz,no number distinction,ngimaze,no number distinction,friendship,yes,in preparation for a Kwaras run,,ŋ,LL,ŋə̀màð ,HH20220326-5,yes,2,no number distinction,HH20220326-5,yes,HH-H,ɛ,yes (L->H),no,ŋə́máð-ɛ́,HH20220828,yes,no number distinction,,,ŋàmàθ,HH20211012,,,,,friendship
273,uyel,nuyel,uyele,nuyele,"shadow, photo",yes,in preparation for a Kwaras run,Same as/similar to country (but spelled differently),k/n,LL,ùjɛ̀l ,HH20220326-5,yes,2,nùjɛ̀l,HH20220326-5,yes,HH-H,ɛ,yes (L->H),no,újə́l-ɛ́,HH20220828,yes,no number distinction,,,ùjɛ̀l,HH20211012,,nùjɛ̀l,HH20211012,,shadow/photo
274,,,,,"gourd, calabash",yes,has gaps,recheck tone of object forms,l/ŋ,LL,lɔ̀ɽɟɛ̀n,< HH08072020:41:43.4 >,yes,2,ŋɔ̀rdʒɛ̀n,,,LH-H,ɛ,yes (L->LH),no,lùɽdʒén-ɛ́,HH20230516,yes,ŋɔɽɟɛnɛ,,needs to be rechecked in a better carrier phrase,lɔ̀ɽɟɛ̀n,< HH08072020:39:32.3 >,yes,ŋɔ̀ɽɟɛ̀n,< HH07242020-Zoom1:11:42.4 >,yes,gourd/calabash
275,uhujen,nguhjen,uhujene,nguhjene,"gourd, calabash",yes,in preparation for a Kwaras run,did we get the wrong SG/PL pairing here? (there should be one l/ŋ and one k/n),k/ŋ,LL,ùɽɟɛ̀n,HH20220326-5,yes,2,ŋùɽɟɛ̀n ,HH20220326-5,yes,LH-H,ɛ,yes (L->LH),no,ùɽdʒɛ́n-ɛ́,HH20220828,yes,ŋùɽdʒɛ́nɛ́,HH20220828,yes,ɔ̀ɽɟɛ̀n,< HH08072020:39:37.8 >,yes,ndrèɟɛ̀n,< HH08072020:47:02.7 >,yes,gourd/calabash
276,ela,nela,ela,nela,gourd piece,yes,in preparation for a Kwaras run,differential object markinɡ for specificity? (see also 'mushroom sp.'),k/n,LL,ɛ̀là,HH20220326-2,yes,2,nɛ̀là,HH20220326-2,yes,L-L,ɛ,no,yes,ɛ̀là ~ ɛ̀l-ɛ̀,HH20220719-2,yes,nɛ̀là ~ nɛ̀l-ɛ̀,HH20220719-2,yes,ɛ̀là,HH20200917,,,,,gourd.piece
277,ela,nela,ela,nela,mushroom sp.,yes,in preparation for a Kwaras run,differential object markinɡ for specificity? (see also 'gourd piece'),k/n,LL,ɛ̀là,HH20220326-2,yes,2,nɛ̀là,HH20220326-2,yes,L-L,ɛ,no,yes,ɛ̀là ~ ɛ̀l-ɛ̀,HH20220719-2,yes,nɛ̀là ~ nɛ̀l-ɛ̀,HH20220719-2,yes,,,,nɛ̀là,HH20201111,,mushroom.sp.
278,nai,no number distinction,naiye,no number distinction,sweet potato,yes,in preparation for a Kwaras run,,n,LL,nàì,HH20220326-5,yes,2,no number distinction,HH20220326-5,yes,LL,i?,no,depends,nàj-ì,HH20220828,yes,no number distinction,,,nàj,HH20200917,,,,,sweet.potato
279,zeman,rreman,zemanya,rremanya,"leg, foot",yes,in preparation for a Kwaras run,recheck tone,ð/r,LL,ðə̀màn,HH20220326-2,yes,2,rmàn,HH20220326-2,yes,LL-L,ɲa,no,no,ðə̀màn-ɲà,HH20220714,yes,"rə̀màn-ɲà, r̀màn-ɲà",HH20220714,yes,,,,,,,leg/foot
280,duri/lduri,nguduri,durinya,ngdurinya,mountain,yes,in preparation for a Kwaras run,recheck case forms (we got different forms for SG and PL,l/ŋ,LL,ɖòɾè,HH20220326-2,yes,2,ŋùɖòɾè,HH20220326-2,yes,LL-L,ɲa,no,no,ɖòɾè-ɲà,HH20220714,yes,ŋùɖòɾè-ɲà,HH20220714,yes,ɖòɾè,< HH07242020-Zoom1:03:12.1 >,yes,ŋòɖò:ɾè,< HH07242020-Zoom1:03:33.3 >,yes,mountain
281,ori ,no number distinction,ori,no number distinction,"water (lake, river, sea)",yes,in preparation for a Kwaras run,,k,LL,ɔ̀ɾì,HH20220326-4,yes,2,no number distinction,HH20220326-4,yes,HH-H,ɲɛ,yes (L->H),no,ɔ̀ɾì ~ ɔ́ɾí-ɲɛ́,HH20220726-1,yes,no number distinction,,,,,,,,,body.of.water
282,zuhi,uhi,zuhi,uhi,tree,yes,yes,plural can also mean 'forest',ð/k,LL,ðùɽì,< HH08212020-2:26:18.1 >,yes,2,ùɽì,< HH08212020-2:26:53.3 >,yes,LL,Ø,no,N.A.,ðùɽì,< HH08212020-2:27:18.2 >,yes,ùɽì,HH20230516,yes,ðùɽì,< HH08212020-2:24:25.3 >,yes,uɽi,,,tree
283,ani,nani,aninyo,naninyo,ear/leaf,yes,check eaf file status,,k/n,LL,ɜ̀nì,HH20201111,yes,2,nɜ̀nì,HH20201125,,LL,Ø,no,N.A.,ɜ̀nì,HH20201125,yes,,,,,,,,,,ear/leaf
284,ebe,nebe,ebe,nebe,gate made of bamboo,yes,check eaf file status,,k/n,LL,ɛ̀βɛ̀,HH20211004,yes,2,nɛ̀βɛ̀,HH20211004,yes,LL,Ø,no,N.A.,ɛ̀βɛ̀,HH20211004,yes,nɛ̀βɛ̀,HH20211004,yes,ɛbɛ,HH20210913,,,,,bamboo.gate
285,uze,nuze,uze,nuze,"gazelle, antelope",yes,check eaf file status,,k/n,LL,ùðɛ̀,HH20220201,yes,2,nùðɛ̀,HH20220201,yes,LL,Ø,no,N.A.,ùðɛ̀,HH20220201,yes,,,,ùðɛ̀,HH20220201,yes,nùðɛ̀,HH20220201,yes,gazelle/antelope
286,ngiya,no number distinction,ngiya,no number distinction,beer,yes,in preparation for a Kwaras run,,ŋ,LL,ŋìà,HH20220206-2,yes,2,no number distinction,,,LL,Ø,no,N.A.,ŋìà,HH20220206-2,yes,no number distinction,,,ŋìà,HH20220206-2,yes,,,,beer
287,angno,nagno,angno,nangno,body,yes,in preparation for a Kwaras run,,j/n,LL,àŋnɔ̀,HH20220326-2,yes,2,àŋnɔ̀,HH20220326-2,yes,LL,Ø,no,N.A.,àŋnɔ̀,HH20220719-2,yes,nàŋnò,HH20220719-2,yes,,,,,,,body
288,aha,no number distinction,aha,no number distinction,first goat's milk/children,yes,in preparation for a Kwaras run,,k,LL,àɽà,HH20220326-2,yes,2,no number distinction,HH20220326-2,yes,LL,Ø,no,N.A.,àɽà,HH20220719-2,yes,no number distinction,,,,,,,,,first.goat.milk/kid
289,erez,ndrez,erez,ndrez,palm of hand,yes,in preparation for a Kwaras run,,k/n,LL,"ɛ̀ɾɛ̀ð, ɛ̀ɾɛ̀θ",HH20220326-2,yes,2,"ndrɛ̀ð, ndrɛ̀θ",HH20220326-2,yes,LL,Ø,no,N.A.,ɛ̀ɾɛ̀ð,HH20220719-2,yes,ndɾɛ̀ð,HH20220719-2,yes,ɪrɛθ,HH20210521,,ndrɛθ,HH20210521,,palm.of.hand
290,iyo,niyo,iyo,iyo,shepherd,yes,in preparation for a Kwaras run,variation between k/n and j/n,j/n,LL,ìjɔ̀,HH20220326-3,yes,2,nìjɔ̀,HH20220326-3,yes,LL,Ø,no,N.A.,ìjɔ̀,HH20220719-2,yes,nìjɔ̀,HH20220719-2,yes,ìjò,HH20200902,,,,,shepherd
291,indo,no number distinction,indo,no number distinction,drum,yes,in preparation for a Kwaras run,,j,LL,ìnɖò ,HH20220326-3,yes,2,no number distinction,HH20220326-3,yes,LL,Ø,no,N.A.,ìnɖɔ̀,HH20220719-2,yes,no number distinction,,,,,,,,,drum
292,laha,ngaha,laha,ngaha,"candle, gum",yes,in preparation for a Kwaras run,,l/ŋ,LL,làɽà,HH20220326-3,yes,2,ŋàɽà,HH20220326-3,yes,LL,Ø,no,N.A.,làɽà,HH20220719-2,yes,ŋàɽà,HH20220719-2,yes,,,,,,,candle/gum
293,lomo,ngomo,lomo,ngomo,"food, bread",yes,in preparation for a Kwaras run,,l/ŋ,LL,lɔ̀mɔ̀,HH20220326-3,yes,2,ŋɔ̀mɔ̀,HH20220326-3,yes,LL,Ø,no,N.A.,lɔ̀mɔ̀,HH20220719-2,yes,ŋɔ̀mɔ̀,HH20220719-2,yes,,,,,,,food/bread
294,zirrna,irrna,zirrna,irrna,leather,yes,in preparation for a Kwaras run,,ð/j,LL,ðə̀rnà,HH20220326-4,yes,2,èrnà,HH20220326-4,yes,LL,Ø,no,N.A.,ðə̀rnà,HH020220726-1,yes,èrnà,HH020220726-1,yes,,,,èrná,HH20211005,,leather
295,zrravi,no number distinction,zrravi,no number distinction,"water (sea, ocean)",yes,in preparation for a Kwaras run,,ð,LL,ðràvì,HH20220326-4,yes,2,no number distinction,HH20220326-4,yes,LL,Ø,no,N.A.,ðràvì,HH020220726-1,yes,ðràvà,HH020220726-1,yes,,,,,,,sea/ocean.water
296,zuhi,uhi,zuhi,rruhi,wood,yes,in preparation for a Kwaras run,not sure what's going on with all the C-uhi forms,ð/k,LL,ðùɽì,HH20220326-4,yes,2,no number distinction,HH20220326-4,yes,LL,Ø,no,N.A.,ðùɽì,HH020220726-1,yes,r̀ɽì,HH020220726-1,yes,uɽi,HH20220118,,rɽi,HH20220118,,wood
297,ngma,no number distinction,ngma,no number distinction,"energy, power",yes,in preparation for a Kwaras run,,ŋ,LL,ŋə̀mà,HH20220326-4,yes,2,no number distinction,HH20220326-4,yes,LL,Ø,no,N.A.,ŋə̀mà,HH20220726-1,yes,no number distinction,,,ŋama,HH20210616,,,,,energy/power
298,qni/uni,nqni/nuni,qni/uni,nqni/nuni,basket (made of palm leaves & sticks),yes,in preparation for a Kwaras run,also ʊ̀nɪ̀ (HH20210623); see also oni 'basket',k/n,LL,ònì,HH20220326-4,yes,2,nònì,HH20220326-4,yes,LL,Ø,no,N.A.,ònì ,HH20220726-1,yes,nònì ,HH20220726-3,yes,ʊnɪ,HH20210623,,nʊnɪ,HH20210623,,palm.leaf.basket
299,rrngo,ingo,rrngo,ingo,snake,yes,in preparation for a Kwaras run,,r/j,LL,r̀ŋɔ̀,HH20220326-4,yes,2,ìŋɔ̀,HH20220326-4,yes,LL,Ø,no,N.A.,r̀ŋɔ̀,HH20220726-1,yes,ìŋɔ̀,HH20220726-5,yes,,,,,,,snake
300,rrhq,xhq,rrhq,xhq,goat,yes,in preparation for a Kwaras run,recheck tone of object forms,r/j,LL,r̀ɽò,HH20220326-4,yes,2,èɽò,HH20220326-4,yes,LL,Ø,no,N.A.,r̀ɽò,HH20220726-1,yes,èɽò,HH20220726-4,yes,r̀ɽò,< HH07242020-Zoom3:06:27.6 >,yes,èɽò,< HH08072020:55:42.8 >,yes,goat
301,aja ?,no number distinction,aja ?,no number distinction,time,yes,,,k,LL,àdʒà,HH20220726-1,yes,2,no number distinction,HH20220726-1,yes,LL,Ø,no,N.A.,àdʒà,HH20220726-1,yes,no number distinction,,,,,,,,,time
302,ziyo,,,,letter ,yes,,,ð/j,LL,ðìjɔ̀,HH20230612,yes,2,ìjɔ̀,HH20230612,yes,LL,Ø,no,N.A.,ðìjɔ̀,HH20230612,yes,ìjɔ̀,HH20230612,yes,,,,,,,letter 
303,imaz,lmaz (also nmaz - no ??),imaz,lmaz,friend (close),yes,in preparation for a Kwaras run,variation between k/n and k/l; also ɛ̀màθ ~ àmàθ and nàmàθ (HH20211012),k/l,LL,èmàð,HH20220326-3,yes,2,lə̀màð,HH20220326-3,yes,LL,Ø,no (but vowel change? check transcriptions),N.A.,ɛ̀màð,HH20220719-2,yes,lə̀màð,HH20220719-2,yes,,,,nàmáθ,HH20211012,,close.friend
304,qmi,nqmi,qmi,nqmi,fish,yes,in preparation for a Kwaras run,,k/n,LL,ʊ̀mì,HH20220326-4,yes,2,nʊ̀mì,HH20220326-4,yes,LL,Ø,no (but vowel change? check transcriptions),N.A.,òmì,HH20220726-1,yes,nòmì,HH20220726-2,yes,umi,HH20200917,,,,,fish
305,Urno,Lurno,urno,lurno,"grandfather, grandchild",yes,check eaf file status,,k/l,LL,ùrnɔ̀,HH20201028,yes,2,lùrnɔ̀,HH20220712,yes,LL,Ø,none,N.A.,ùrnɔ̀,HH20230516,yes,lùrnɔ̀,,,,,,,,,grandfather/grandchild
306,dduddo,no number distinction,dduddo,no number distinction,"floor, ground, dust, soil",yes,check eaf file status,,d,LL,ðùd̪ɔ̀ ~ d̪ùd̪ɔ̀,HH20211012,yes,2,no number distinction,,,LL,Ø,none,N.A.,d̪ùd̪ɔ̀,HH20211012,yes,no number distinction,,,d̪ùd̪ɔ̀,HH20211012,,,,,ground
307,reze,eze,reze,eze,"meat, vegetable, animal (prey)",yes,in preparation for a Kwaras run,,r/j,LL,r̀ðɛ̀,HH20220201,yes,2,ɛ̀ðɛ̀,HH20220201,yes,LL,Ø,none,N.A.,r̀ðɛ̀,HH20230516,yes,ɛ̀ðɛ̀,< HH20211005:37:41.1 >,yes,r̀ðɛ̀,HH20220201,yes,ɛ̀ðɛ̀,HH20220201,yes,meat/vegetable/prey
308,zaba,yaba,,,star,yes,,,ð/j,LL,ðàbà,HH20230608,yes,2,jàbà,HH20230608,yes,LL,Ø,none,N.A.,ðàbà,HH20230608,yes,jàbà,HH20230608,yes,,,,,,,star
309,izong,lizong,izongo,lizongo,offspring,yes,,,k/l,LL,èðɔ̀ŋ,HH20230414,yes,2,lə̀ðɔ̀ŋ,HH20230414,yes,LL-L,ɔ,no,no,èðɔ̀ŋ-ɔ̀,HH20230414,yes,lə̀ðɔ̀ŋ-ɔ̀,HH20230414,yes,,,,,,,offspring
310,zucul,no number distinction,zuculo,no number distinction,Arabic language,yes,,,ð,LL,ðə̀tʃùl,HH20230420-4,yes,2,no number distinction,,,LL-L,ɔ,no,no,ðə̀tʃùl-ɔ̀,HH20230420-4,yes,,,,,,,,,,Arabic.language
311,hitti,nyitti,hitto,nyitto,palm tree,yes,check eaf file status,,s/ɲ,LL,ɽìt̪ì,HH20220201,yes,2,ɲìt̪ì,HH20220201,yes,L-L,ɔ,no,yes,ɽìt̪-ɔ̀,HH20230516,yes,,,,ɽit̪i,HH20210623,,ɲìtí,HH20210623,,palm.tree
312,littri,ngitri,littri,ngittro,skirt (covers front and back),yes,in preparation for a Kwaras run,,l/ŋ,LL,lə̀t̪ɾì,HH20220326-3,yes,2,ŋə̀t̪ɾì,HH20220326-3,yes,L-L,ɔ,no,yes,lə̀t̪ɾ-ɔ̀,HH20220719-2,yes,ŋə̀t̪ɾɔ̀,HH20220719-2,yes,,,,,,,skirt
313,,,,,badness/sin,yes,,,ŋ,LL,ŋʊ̀tʃɔ̀,,,,lʊ̀tʃɔ̀,,,,,,,ŋʊ̀tʃɔ̀,,,lʊ̀tʃɔ̀,,,,,,,,,badness/sin
314,zugubul,gubul,zugubulo,gubulo,pumpkin,yes,in preparation for a Kwaras run,,ð/k,LLF,ðə̀gʊ̀bʊ̂l,HH20220326-2,yes,2,gʊ̀bʊ̂l,HH20220326-2,yes,LLH-L,ɔ,depends,no,ðə̀gʊ̀bʊ́l-ɔ̀,HH20220714,yes,gʊ̀bʊ́l-ɔ̀,HH20220714,yes,,,,,,,pumpkin
315,attujay,nattujay,attujaye,nattujaye,bed strap,yes,in preparation for a Kwaras run,,j/n,LLF,àt̪ùdʒâj,HH20220326-5,yes,3,nàt̪ùdʒáì ,HH20220326-5,yes,LLH-H,ɛ,depends,depends,àt̪ùdʒáj-ɛ́,HH20220828,yes,nàt̪ùdʒájɛ́,HH20220828,yes,àt̪udʒáj,HH20210623,,,,,bed.strap
316,zalagarray,nalzalagarray,zalagarraye,nalzalagarraye,hyena,yes,in preparation for a Kwaras run,,ð/n,LLF,ðàlgàrâj,HH20220326-5,yes,3,nàðàlgàrâj,HH20220326-5,yes,LLH-H,ɛ,depends,depends,ðàlgàráj-ɛ́,HH20220828,yes,nàlðàlgarájɛ́,HH20220828,yes,ðàlàgàràj,HH20210616,,,,,hyena
317,emahzen,lemahzen,emahzena,lemahzena,woman,yes,has gaps,,k/,LLH,èmàɽðɛ́n,< HH07242020-Zoom3:13:16.1 >,yes,3,lɛ̀màɽðén,HH20230703,yes,LLH-H,a,no,no,ìmàɽðɛ́n-á,HH20220220-1,yes,lɛ̀màɽðɛ́ná,HH20220220-1,yes,èmàɽðɛ̀n,< HH07242020-Zoom3:03:09.7 >,yes,,,,woman
318,iddere,liddere,iddera,liddera,girl,yes,check eaf file status,,k/n,LLH,èd̪ɛ̀ɾɛ́,HH20200910,yes,3,lə̀d̪ɛ̀ɾɛ́,HH20200910,yes,LL-H,a,no,yes,èd̪èɾ-á,HH20230516,yes,,,,ed̪ɛrɛ,HH20200910,,ld̪ɛrɛ,HH20200910,,girl
319,,,,,spider,yes,,,k/l,LLH,ùt̪ùlú,HH20230608,yes,3,lùt̪ùlú,HH20230608,yes,LL-H,a,no,yes,"ùt̪ùlú, ùt̪ùl-á",HH20230608,yes,lùt̪ùl-á,HH20230608,,,,,,,,spider
320,azenyen ,no number distinction,azenyene,no number distinction,sun,yes,check eaf file status,,j,LLH,àðə̀ɲɛ́n,HH20210611,yes,3,no number distinction,,,LLH-H,ɛ,no,no,àðə̀ɲɛ́n-ɛ́,HH20230414-Zoom-3,yes,no number distinction,,,,,,,,,sun
321,qhuwel,lqtuwel,qhuwele,lqtuwele,monkey,yes,in preparation for a Kwaras run,,k/l,LLH,òɽùwɛ́l ,HH20220326-5,yes,3,lòʈùwɛ́l,HH20220326-5,yes,LLH-H,ɛ,no,no,òɽùwɛ́l-ɛ́,HH20220828,yes,lʈùwɛ́lɛ́,HH20220828,yes,,,,,,,monkey
322,ittro,littro,ittre,littre,Tira person,yes,in preparation for a Kwaras run,,k/l,LLH,ìt̪ə̀ɾɔ́ ,HH20220326-5,yes,3,lìt̪ə̀ɾɔ́,HH20220326-5,yes,L-H,ɛ,no,yes,ìt̪r-ɛ́,HH20220828,yes,lìt̪rɛ́,HH20220828,yes,ìt̪rɔ̀,HH20210521,,lɪ̀t̪rɔ̀,HH20210521,,Tira.person
