,Tira orthography (singular form),Tira orthography (plural form),Tira orthography (singular object form),Tira orthography (plural object form),Translation equivalent,Have we recorded this one already?,In our database?,COMMENTS,Noun class (based on agreement),SG subject tone,SG subject form,Source for SG subject form,Transcription checked with recording?,Number of syllables of stem,PL subject form,Source for PL subject form,Transcription checked with recording?.1,SG object tone,SG object suffix,Stem tone change,Hiatus (stem-ACC),SG object form,Source for SG object form,Transcription checked with recording?.2,PL object form,Source for PL object form,Transcription checked with recording?.3,SG citation form,Source for SG citation form,Transcription checked with recording?.4,PL citation form,Source for PL citation form,Transcription checked with recording?.5,Gloss
186,ngirrta,no number distinction,ngirrtta,no number distinction,"word, words",yes,in preparation for a Kwaras run,,ŋ,HH,ŋə́rt̪á,HH20220326-4,yes,2,no number distinction,HH20220326-4,yes,LH,Ø,no? (is ACC form HH + upsweep?),N.A.,ŋə̀rt̪á,HH20220726-1,yes,no number distinction,,,,,,,,,word
187,irrdo,,nirrdo,,knife,yes,has gaps,,k/,HH,írdɔ́,HH20230420-Zoom-2,yes,2,ndŕdɔ́,HH20230703,yes,HH,Ø,none,N.A.,írdɔ́,HH20230516,yes,,,,írdɔ́,HH20210927,yes,,,,knife
188,arru,narru,arre,narre,spider web,yes,,see also 'ngaam',k/n,HH,ɜ́rú,HH20230608,yes,2,nɜ́rú,HH20230608,yes,HH,Ø,none,N.A.,ɜ́rú,HH20230608,yes,nɜ́rú,HH20230608,yes,,,,,,,spider.web
189,laco,ngaco,laco,ngaco,"mud, drop of mud",yes,in preparation for a Kwaras run,PL.obj form is ŋɔ́tʃɛ́ in HH20220714,l/ŋ,HH,látʃɔ́,HH20220326-3,yes,2,ŋátʃɔ́,HH20220326-3,yes,HH,Ø/ɛ,no,N.A.,látʃɔ́,HH20220719-2,yes,ŋátʃɔ́ (ŋɔ́tʃɛ́ in HH20220714!),HH20220719-2,yes,ŋatʃɔ,HH20210714,,,,,mud
190,lidi,ngidi,lido,ngido,"pot, clay pot",yes,in preparation for a Kwaras run,,l/n,HH,lídí,HH20220326-2,yes,2,ŋídí,HH20220326-2,yes,H-H,ɔ,no,yes,líd-ɔ́,HH20220714,yes,ŋíd-ɔ́,HH20220714,yes,lídí,HH20200917,,,,,pot
191,lobehe,ngobehe,lobeha,ngobeha,flower,yes,check eaf file status,,l/ŋ,HHH,lɔ́vɛ́ɽɛ́,HH20220306-1,yes,3,ŋɔ́vɛ́ɽɛ́,HH20220306-1,yes,HH-H,a,no,yes,lɔ́vɛ́ɽ-á,HH20220306-1,yes,,,,lɔvɛɽɛ,,,ŋɔvɛɽɛ,,,flower
192,alpuro,nalpuro,alpuro,nalpuro,skin,yes,in preparation for a Kwaras run,,j/n,HHH,álpʊ́ɾɔ́,HH20220326-2,yes,3,nálpʊ́ɾɔ́,HH20220326-2,yes,HHH,Ø,no,N.A.,álpúɾɔ́,HH20220719-2,yes,nálpúɾɔ́,HH20220719-2,yes,álpùrò,,,,,,skin
193,lipio,ngipio,lipio,ngipio,mushroom sp.,yes,in preparation for a Kwaras run,,l/ŋ,HHH,lípíjɔ́,HH20220326-3,yes,3,ŋípíjɔ́,HH20220326-3,yes,HHH,Ø,no,N.A.,lípíjɔ́,HH20220719-2,yes,ŋípíjɔ́,HH20220719-2,yes,,,,,,,mushroom.sp.
194,amuze ??,no number distinction,amuze,no number distinction,Tira dance style and ceremony,yes,check eaf file status,,k,HHH,ámúðɛ́,HH20220201,yes,3,no number distinction,,,HHH,Ø,none,N.A.,ámúðɛ́,HH20220201,yes,no number distinction,,,ámúðɛ́,HH20220201,yes,,,,Tira.dance.ceremony
195,aro,laro,are,lare,"chicken, hen",yes,in preparation for a Kwaras run,,k/l,HL,âɾò,HH20220206-1,yes,2,lâɾò,HH20220206-1,yes,H-H,ɛ,no (but vowel change?),yes,óɾ-ɛ́,HH20220224,yes,láɾɛ́,HH20220224,yes,àrɔ̀,HH20210913,,làró,< HH20211012:12:11.5 >,yes,chicken/hen
196,karo,"nalkaro, karo",karo,nalkaro,cart,yes,in preparation for a Kwaras run,loanword from Arabic; variation between k/l and k/n; different kind of plural,k/n,HL,kârɔ̀,HH20220326-3,yes,2,nàlkârɔ̀,HH20220326-3,yes,FL,Ø,no,N.A.,kârɔ̀,HH20220719-2,yes,nàlkârɔ̀,HH20220719-2,yes,kárò,< HH20210305:10:09.2 >,yes,nàlkárò,< HH20210305:10:37.3 >,yes,cart
197,lrroba,ngrroba,lrroba,ngrroba,medicine,yes,in preparation for a Kwaras run,,l/ŋ,HL,lrɔ̂bà,HH20220326-3,yes,2,ŋrɔ̂bà,HH20220326-3,yes,FL,Ø,no,N.A.,lrɔ̂bà,HH20220726-1,yes,ŋrɔ̂bà,HH20220726-1,yes,,,,,,,medicine
198,zora,yora,zora,yora,fence,yes,in preparation for a Kwaras run,,ð/j,HL,ðɔ̂ɾà,HH20220326-4,yes,2,jɔ̂ɾà,HH20220326-4,yes,FL,Ø,no,N.A.,ðɔ̂ɾà,HH020220726-1,yes,jɔ̂ɾà,HH020220726-1,yes,,,,,,,fence
199,cucu,no number distinction,cuco,no number distinction,beads (PL),yes,,compare to 'suddenly',tʃ,HL,tʃútʃù,HH20240322,,,no number distinction,,,,ɔ,,,tʃutʃɔ,HH20240322,,,,,,,,,,,beads
200,kamaha,kamahanga,kamaha,kamahanya,friend (casual),yes,in preparation for a Kwaras run,different kind of plural,k/l,HLL,kámàɽà,HH20220326-3,yes,3,kámàɽàŋá,HH20220326-3,yes,HLL,Ø,no,N.A.,kámàɽà,HH20220719-2,yes,kámàɽàŋá,HH20220719-2,yes,kámàɽà,HH20220201,yes,kámàɽàŋá,HH20220201,yes,casual.friend
201,zu,rru,zuve,rruve,heart,yes,check eaf file status,,ð/r,L,ðù,HH20211011,yes,1,rù,HH20211011,yes,H-H,ɛ,yes (L->H),depends (is it /ðv/?),ðʊ́v-ɛ́,HH20211011,yes,rʊ́vɛ́,HH20211011,yes,,,,,,,heart
202,qn,nqn,qne,nqne,porcupine,yes,,,k/n,L,òn,HH20230619,yes,1,nùn,HH20230619,yes,H-H,ɛ,yes (L->H),no,ún-ɛ́,HH20230619,yes,nún-ɛ́,HH20230619,yes,ôn,HH20211011,,nôn,HH20211011,,porcupine
203,bacum,nalbacum,baccum,nalbacum,fox,yes,in preparation for a Kwaras run,variation in object form (bacum or bacume),k/n,LF,bàtʃʊ̂m,HH20220326-2,yes,2,nàlbàtʃʊ̂m,HH20220326-2,yes,LH-H,ɛ,depends,no,bàtʃʊ́m-ɛ́,HH20220719-2,yes,nàlbàtʃʊ́m-ɛ́,HH20220719-2,yes,batʃum,HH20200910,,nàlbàtʃúm,HH20200910,,fox
204,eraz,ndraz,eraze,ndraze,"cloth, clothing, clothes",yes,in preparation for a Kwaras run,PL also ǹdrɛ́θ (HH20210521),k/n,LF,ɛ̀ɾâð ,HH20220326-5,yes,2,ǹdrâð,HH20220326-5,yes,LH-H,ɛ,depends,no,ɛ̀ɾáð-ɛ́,HH20220828,yes,ndráðɛ́,HH20220828,yes,ɪrɛθ,HH20210521,,ndrɛθ,HH20210521,,clothing
205,laran,ngaran,larane,ngarane,basket (made of palm leaves),yes,in preparation for a Kwaras run,,l/ŋ,LF,làɾân,HH20220326-5,yes,2,ŋàɾân,HH20220326-5,yes,LH-H,ɛ,depends,no,làɾán-ɛ́,HH20220828,yes,ŋàɾánɛ́,HH20220828,yes,,,,,,,palm.leaf.basket
206,adam/iddam,nadam,adama/iddama,nadama,book,yes,in preparation for a Kwaras run,,j/n,LH,àdám,HH20220326-4,yes,2,nàdám,HH20220326-4,yes,LH-H,a,no,no,àdám-á,HH20220726-1,yes,nàdám-á,HH20220726-1,yes,,,,,,,book
207,leverr,ngeverr,leverra,ngeverra,field,yes,in preparation for a Kwaras run,,l/ŋ,LH,lə̀və́r,HH20220326-5,yes,2,ŋə̀və́r,HH20220326-5,yes,LH-H,a,no,no,lə̀və́r-á,HH20220726-1,yes,ŋə̀və́r-á,HH20220726-1,yes,lɛvɛr,HH20210830,,,,,field
208,lomoz,ngmoz,lomoza,ngmoza,log,yes,in preparation for a Kwaras run,,l/ŋ,LH,lə̀mɔ́ð ,HH20220326-5,yes,2,ŋə̀mɔ́ð ,HH20220326-5,yes,LL-H,a,yes (LH->L),no,lə̀mɔ̀ð-á,HH20220828,yes,ŋɔ̀mɔ̀ðá,HH20220828,yes,lɔ̀mɔ̀θ,< HH08142020:54:42.1 >,yes,ŋɔ̀mɔ̀θ,< HH08142020:55:13.8 >,yes,log
209,lqlq,ngqlq,lqla,ngaqla,elbow,yes,check eaf file status,,l/ŋ,LH,lòlːó,HH20201111,yes,2,ŋòló,HH20201125,,L-H,a,no,yes,lòl-á,HH20201125,yes,,,,lòlò,HH20201111,,,,,elbow
210,qlq,nqlq,qla,nqla,sieve,yes,check status of HH20201125,(maybe olo as well),k/n,LH,òló,HH20220201,yes,2,nòló,HH20201125,,L-H,a,no,yes,òl-á,HH20201125,yes,,,,òló,HH20220201,yes,,,,sieve
211,lerx,ngerx,lera,ngera,bowl,yes,in preparation for a Kwaras run,,l/ŋ,LH,lə̀ré,HH20220326-4,yes,2,ŋə̀ré,HH20220326-4,yes,L-H,a,no,yes,lɛ̀r-á,HH20220726-1,yes,ŋɛ̀r-á,HH20220726-1,yes,,,,,,,bowl
