nom.sg,nom.pl,acc.sg,acc.pl,translation,gloss,noun_class,root,part_of_speech,comment
lʊ̀dó,ŋʊ̀dó,,,sheaf/bundle of grass (general),sheaf/grass.bundle,l/ŋ,lʊ̀dó,noun,
ə̀ŋná,nə̀ŋná,àŋná,nàŋná,house,house,j/n,ə̀ŋná,noun,
lòró,ŋòró,lùró,ŋùró,red thorn tree,red.thorn.tree,l/ŋ,lòró,noun,
àré,nàré,,,table,table,j/,àré,noun,
ìmbɽá,ɲìmbɽá,ìmbə̀ɽá,,feather,feather,k/ɲ,ìmbɽá,noun,
àlú,,,,place,place,j,àlú,noun,
àlbríð,nàlbríð,àlbɾíðɔ́,,"mat, rug (Arabic loan)",mat/rug,j,àlbríð,noun,
ʊ̀mí,nʊ̀mí,ʊ̀mɔ́,nʊ̀mɔ́,bell,bell,k/n,ʊ̀mí,noun,
lùɽbí,ŋùɽbí ŋùɽví,lùɽbɔ́,ŋùɽbɔ́,jujube fruit,jujube.fruit,l/ŋ,lùɽbí,noun,
ɔ̀mnɛ́,nɔ̀mnɛ́,ɔ̀mná,nɔ̀mná,enemy,enemy,k/n,ɔ̀mnɛ́,noun,
ŋ̀rím,,ŋə̀ɾímɛ́,,darkness,darkness,ŋ,ŋ̀rím,noun,
ŋə̀mt̪ɛ́ɾɛ́,,ŋə́mt̪ɛ́ɾá,,frollicking,frollicking,ŋ,ŋə̀mt̪ɛ́ɾɛ́,noun,
lùbút̪ú,ŋùbút̪ú,lúbútɛ́,ŋúbútɛ́,bird (dove),dove,l/ŋ,lùbút̪ú,noun,
ùlíŋgɛ́,,,,night,night,k,ùlíŋgɛ́,noun,
ðə̀láɽá,,ðə́láɽá,,plough (infinitive?),plough,ð,ðə̀láɽá,noun,
sɔ̀ɽíŋgɔ́,,,,donkey (diminutive),donkey.DIM,s,sɔ̀ɽíŋgɔ́,noun,
ŋɔ̀ɽíŋgɔ́,ɲàɽíŋgó,,,donkey,donkey,ŋ/ɲ,ŋɔ̀ɽíŋgɔ́,noun,
àlkúrcì,,àlkúɾcɛ́,,money,money,j,àlkúrcì,noun,
ŋ̀cɔ́lɔ̀,nìcɔ́lɔ̀,ŋìcɔ́lɔ̀,,brown squirrel,brown.squirrel,ŋ/n,ŋ̀cɔ́lɔ̀,noun,
ðɜ̀ríbì,jàríbì,ðɜ̀ríbɔ̀,,pen (for animals),animal.pen,ð/j,ðɜ̀ríbì,noun,
àlmúndù,nàlmúndù,àlmúnd̪ɔ̀,nàlmúnd̪ɔ̀,gun,gun,j/n,àlmúndù,noun,
ðàŋàl,jàŋàl,ðàŋàlà,jàŋàlà,sheep,sheep,ð/j,ðàŋàl,noun,
àɾò,làɾò,òɾà,lòɾà,"brother, sibling",sibling,k/l,àɾò,noun,
lɔ̀ɲɔ̀,ŋɔ̀ɲɔ̀,lɔ̀ɲà,ŋɔ̀ɲa,mouth,mouth,l/ŋ,lɔ̀ɲɔ̀(2),noun,
ðùpì,jùpì,ðùpà,,pen,pen,ð/j,ðùpì,noun,
lɔ̀ɲɔ̀,ŋɔ̀ɲɔ̀,lɔ̀ɲà,ŋɔ̀ɲà,top,top,l/ŋ,lɔ̀ɲɔ̀(1),noun,
tòsò,ŋʊ̀tòsò,tòsà,ŋʊ̀tòsà,palm of hand,palm.of.hand,l/ŋ,tòsò,noun,
lòðì,ŋùðì,lòðà,ŋòðà,bone,bone,l/ŋ,lòðì,noun,
ðɔ̀ndɔ̀,jɔ̀ndɔ̀,ðɔ̀ndà,,gourd,gourd,ð/,ðɔ̀ndɔ̀,noun,
ŋə̀màð,,ŋə́máðɛ́,,friendship,friendship,ŋ,ŋə̀màð,noun,
ùjɛ̀l,nùjɛ̀l,újə́lɛ́,,"shadow, photo",shadow/photo,k/n,ùjɛ̀l,noun,
lɔ̀ɽɟɛ̀n,ŋɔ̀rɟɛ̀n,lùɽɟénɛ́,ŋɔɽɟɛnɛ,"gourd, calabash",gourd/calabash,l/ŋ,lɔ̀ɽɟɛ̀n,noun,
ùɽɟɛ̀n,ŋùɽɟɛ̀n,ùɽɟɛ́nɛ́,ŋùɽɟɛ́nɛ́,"gourd, calabash",gourd/calabash,k/ŋ,ùɽɟɛ̀n,noun,
ɛ̀là,nɛ̀là,ɛ̀là ɛ̀lɛ̀,nɛ̀là nɛ̀lɛ̀,gourd piece,gourd.piece,k/n,ɛ̀là(1),noun,
ɛ̀là,nɛ̀là,ɛ̀là ɛ̀lɛ̀,nɛ̀là nɛ̀lɛ̀,mushroom sp.,mushroom.sp.,k/n,ɛ̀là(2),noun,
nàì,,nàjì,,sweet potato,sweet.potato,n,nàì,noun,
ðə̀màn,rmàn,ðə̀mànɲà,rə̀mànɲà r̀mànɲà,"leg, foot",leg/foot,ð/r,ðə̀màn,noun,
dòɾè,ŋùdòɾè,dòɾèɲà,ŋùdòɾèɲà,mountain,mountain,l/ŋ,dòɾè,noun,
ɔ̀ɾì,,ɔ̀ɾì ɔ́ɾíɲɛ́,,"water (lake, river, sea)",body.of.water,k,ɔ̀ɾì,noun,
ðùɽì,ùɽì,,,tree,tree,ð/k,ðùɽì(1),noun,
ɜ̀nì,nɜ̀nì,,,ear/leaf,ear/leaf,k/n,ɜ̀nì,noun,
ɛ̀bɛ̀,nɛ̀bɛ̀,,,gate made of bamboo,bamboo.gate,k/n,ɛ̀bɛ̀,noun,
ùðɛ̀,nùðɛ̀,,,"gazelle, antelope",gazelle/antelope,k/n,ùðɛ̀,noun,
ŋìà,,,,beer,beer,ŋ,ŋìà,noun,
àŋnɔ̀,àŋnɔ̀,,nàŋnò,body,body,j/n,àŋnɔ̀,noun,
àɽà,,,,first goat's milk/children,first.goat.milk/kid,k,àɽà,noun,
ɛ̀ɾɛ̀ð ɛ̀ɾɛ̀ð,ndrɛ̀ð ndrɛ̀ð,ɛ̀ɾɛ̀ð,ndɾɛ̀ð,palm of hand,palm.of.hand,k/n,ɛ̀ɾɛ̀ð,noun,
ìjɔ̀,nìjɔ̀,,,shepherd,shepherd,j/n,ìjɔ̀,noun,
ìndò,,ìndɔ̀,,drum,drum,j,ìndò,noun,
làɽà,ŋàɽà,,,"candle, gum",candle/gum,l/ŋ,làɽà,noun,
lɔ̀mɔ̀,ŋɔ̀mɔ̀,,,"food, bread",food/bread,l/ŋ,lɔ̀mɔ̀,noun,
ðə̀rnà,èrnà,,,leather,leather,ð/j,ðə̀rnà,noun,
ðràvì,,,ðràvà,"water (sea, ocean)",sea/ocean.water,ð,ðràvì,noun,
ðùɽì,,,r̀ɽì,wood,wood,ð/k,ðùɽì(2),noun,
ŋə̀mà,,,,"energy, power",energy/power,ŋ,ŋə̀mà,noun,
ònì,nònì,,,basket (made of palm leaves & sticks),palm.leaf.basket,k/n,ònì,noun,
r̀ŋɔ̀,ìŋɔ̀,,,snake,snake,r/j,r̀ŋɔ̀,noun,
r̀ɽò,èɽò,,,goat,goat,r/j,r̀ɽò,noun,
àɟà,,,,time,time,k,àɟà,noun,
ðìjɔ̀,ìjɔ̀,,,letter,letter,ð/j,ðìjɔ̀,noun,
èmàð,lə̀màð,ɛ̀màð,,friend (close),close.friend,k/l,èmàð,noun,
ʊ̀mì,nʊ̀mì,òmì,nòmì,fish,fish,k/n,ʊ̀mì,noun,
ùrnɔ̀,lùrnɔ̀,,,"grandfather, grandchild",grandfather/grandchild,k/l,ùrnɔ̀,noun,
ðùd̪ɔ̀ d̪ùd̪ɔ̀,,d̪ùd̪ɔ̀,,"floor, ground, dust, soil",ground,d,ðùd̪ɔ̀,noun,
r̀ðɛ̀,ɛ̀ðɛ̀,,,"meat, vegetable, animal (prey)",meat/vegetable/prey,r/j,r̀ðɛ̀,noun,
ðàbà,jàbà,,,star,star,ð/j,ðàbà,noun,
èðɔ̀ŋ,lə̀ðɔ̀ŋ,èðɔ̀ŋɔ̀,lə̀ðɔ̀ŋɔ̀,offspring,offspring,k/l,èðɔ̀ŋ,noun,
ðə̀cùl,,ðə̀cùlɔ̀,,Arabic language,Arabic.language,ð,ðə̀cùl,noun,
ɽìt̪ì,ɲìt̪ì,ɽìt̪ɔ̀,,palm tree,palm.tree,s/ɲ,ɽìt̪ì,noun,
lə̀t̪ɾì,ŋə̀t̪ɾì,lə̀t̪ɾɔ̀,ŋə̀t̪ɾɔ̀,skirt (covers front and back),skirt,l/ŋ,lə̀t̪ɾì,noun,
ŋʊ̀cɔ̀,lʊ̀cɔ̀,,,badness/sin,badness/sin,ŋ,ŋʊ̀cɔ̀,noun,
ðə̀gʊ̀bʊ̂l,gʊ̀bʊ̂l,ðə̀gʊ̀bʊ́lɔ̀,gʊ̀bʊ́lɔ̀,pumpkin,pumpkin,ð/k,ðə̀gʊ̀bʊ̂l,noun,
àt̪ùɟâj,nàt̪ùɟáì,àt̪ùɟájɛ́,nàt̪ùɟájɛ́,bed strap,bed.strap,j/n,àt̪ùɟâj,noun,
ðàlgàrâj,nàðàlgàrâj,ðàlgàrájɛ́,nàlðàlgarájɛ́,hyena,hyena,ð/n,ðàlgàrâj,noun,
