nom.sg,nom.pl,acc.sg,acc.pl,translation,gloss,noun_class,root,part_of_speech,comment
ɜ́ɾú,nɜ́ɾú,ɛ́rɛ́,nɛ́ɾɛ́,water skin,waterskin,k/n,ɜ́ɾú,noun,
órá,ŋɔ̀rà,órɛ́,,child,child,k/ŋ,órá,noun,
ŋɔ́ðɔ́,ɲɔ́ðɔ́,ŋɔ́ðɛ́,,goat (male),billy.goat,ŋ/ɲ,ŋɔ́ðɔ́,noun,
ɛ́lɔ́,,ɛ́lɔ́ŋú,,God,God,k,ɛ́lɔ́(1),noun,
ɜ́ɾʊ́,nɜ́rʊ́,,,bird's nest/leather bowl/spider web,nest/web/bowl,k/n,ɜ́ɾʊ́,noun,
ɛ́ɽɛ́,,,,inside house,inside.house,k,ɛ́ɽɛ́,noun,
tút̪ú,ŋùt̪ut̪ú,,ŋwùt̪út̪ú,roof (of house),roof,l/ŋ,tút̪ú,noun,
lʊ́mbɛ́,ŋʊ́mbɛ́,,,skirt (traditional),traditional.skirt,l/ŋ,lʊ́mbɛ́,noun,
lɔ́mɛ́,ŋɔ́mɛ́,,,rain/rain drop(s); plural is a bit unnatural,rain,l/,lɔ́mɛ́,noun,
ðɔ́lá,ɔ́lá,,,"animal (domestic; cows, sheep, camels); body hair (of humans or animals)",domestic.animal/body.hair,ð/k,ðɔ́lá(1),noun,
ðámlá,jámlá,,,camel,camel,ð/j,ðámlá,noun,
ɛ́lɔ́,,,,"top, sky",top/sky,k,ɛ́lɔ́(2),noun,
íjɔ́,,,,"fire, gun",fire/gun,j,íjɔ́,noun,
íɾí,níɾí,írí,nírí,trough,trough,k/n,íɾí,noun,
lárɔ́,ŋárɔ́,láró,ŋáró,"rock, boulder",rock,l/ŋ,lárɔ́,noun,
líjɔ́,ŋíjɔ́,,,poison/pain,poison/pain,l/ŋ,líjɔ́,noun,
lúgɔ́ lúɔ́,ŋúgɔ́ ŋúɔ́,,,"dress, shirt",dress/shirt/cloth,l/ŋ,lúgɔ́,noun,
súɽú,,,,"beer, wine",beer/wine,s,súɽú,noun,
lúcɔ́,ŋúcɔ́,,,soup (SG = drop of soup),soup,l/ŋ,lúcɔ́,noun,
ðɛ́l,rɛ́l,,,grave,grave,ð/r,ðɛ́l,noun,
ðɜ́ɽí,rɛ́ɽí,,rɜ́ɽí,wound,wound,ð/r,ðɜ́ɽí,noun,
úðɔ́,,,,breath,breath,k,úðɔ́,noun,
ðɔ́lá,ɔ́lá,ðólá,,flour; pollen grains of flower,flour/pollen,ð/k,ðɔ́lá(2),noun,
ŋə́rt̪á,,ŋə̀rt̪á,,"word, words",word,ŋ,ŋə́rt̪á,noun,
írdɔ́,ndŕdɔ́,,,knife,knife,k/,írdɔ́,noun,
